list-i-none,12,4,1,144,628724,4366
list-d-none,12,4,1,144,689326,4786
list-id-none,12,4,1,144,742228,5154
list-il-none,12,4,1,144,921735,6400
list-dl-none,12,4,1,144,814131,5653
list-i-none,12,8,1,288,750429,2605
list-d-none,12,8,1,288,718027,2493
list-l-none,12,8,1,288,805530,2796
list-dl-none,12,8,1,288,766730,2662
list-d-none,12,16,1,576,804530,1396
list-i-m,12,32,1,1152,1271849,1104
list-i-s,12,32,1,1152,247292379,214663
list-d-m,12,32,1,1152,1402253,1217
list-d-s,12,32,1,1152,110718499,96109
list-l-m,12,32,1,1152,2482194,2154
list-l-s,12,32,1,1152,337257290,292758
list-id-m,12,32,1,1152,2119281,1839
list-id-s,12,32,1,1152,254646558,221047
list-il-m,12,32,1,1152,3433930,2980
list-il-s,12,32,1,1152,342889004,297646
list-dl-m,12,32,1,1152,3859646,3350
list-dl-s,12,32,1,1152,309844051,268961
list-idl-m,12,32,1,1152,4490770,3898
list-idl-s,12,32,1,1152,295875222,256836
list-none-m,1,1000,1,3000,187807,62
list-none-s,1,1000,1,3000,153706,51
list-none-m,2,1000,1,6000,2746704,457
list-none-s,2,1000,1,6000,415816,69
list-none-m,4,1000,1,12000,2588998,215
list-none-s,4,1000,1,12000,1887072,157
list-none-m,8,1000,1,24000,3639038,151
list-none-s,8,1000,1,24000,5429606,226
list-none-m,12,1000,1,36000,4184259,116
list-none-s,12,1000,1,36000,9484760,263
list-none-m,16,1000,1,48000,6080831,126
list-none-s,16,1000,1,48000,12139261,252
list-none-m,24,1000,1,72000,8945440,124
list-none-s,24,1000,1,72000,19783750,274
